2024-11-08T10:15:31 99% | 4140 mV | 8 mA | 911 / 927 mAh | 33 mW | 94%
2024-11-08T12:37:53 100% | 3866 mV | 10 mA | 932 / 932 mAh | 39 mW | 94%
2024-11-08T12:38:24 100% | 3866 mV | 10 mA | 932 / 932 mAh | 39 mW | 94%
2024-11-08T12:38:55 100% | 3865 mV | 10 mA | 932 / 932 mAh | 39 mW | 94%
2024-11-08T12:39:25 100% | 3865 mV | 10 mA | 932 / 932 mAh | 39 mW | 94%
2024-11-08T12:39:56 100% | 3863 mV | 10 mA | 933 / 933 mAh | 39 mW | 94%
2024-11-08T12:40:27 100% | 3863 mV | 10 mA | 933 / 933 mAh | 39 mW | 94%
2024-11-08T12:40:57 100% | 3862 mV | 10 mA | 933 / 933 mAh | 39 mW | 94%
2024-11-08T12:41:28 100% | 3861 mV | 10 mA | 933 / 933 mAh | 39 mW | 94%
2024-11-08T12:41:58 100% | 3860 mV | 10 mA | 933 / 933 mAh | 39 mW | 94%
2024-11-08T12:42:29 100% | 3860 mV | 10 mA | 933 / 933 mAh | 39 mW | 94%
2024-11-08T12:43:00 100% | 3859 mV | 10 mA | 933 / 933 mAh | 39 mW | 94%
2024-11-08T12:43:30 100% | 3859 mV | 10 mA | 933 / 933 mAh | 39 mW | 94%
2024-11-08T12:44:01 100% | 3858 mV | 10 mA | 933 / 933 mAh | 39 mW | 94%
2024-11-08T12:44:32 100% | 3857 mV | 10 mA | 933 / 933 mAh | 39 mW | 94%
2024-11-08T12:45:02 100% | 3856 mV | 10 mA | 933 / 933 mAh | 39 mW | 94%
2024-11-08T12:45:33 100% | 3856 mV | 10 mA | 933 / 933 mAh | 39 mW | 94%
2024-11-08T12:46:03 100% | 3855 mV | 10 mA | 933 / 933 mAh | 39 mW | 94%
2024-11-08T12:46:34 100% | 3854 mV | 10 mA | 934 / 934 mAh | 39 mW | 94%
2024-11-08T12:47:05 100% | 3853 mV | 10 mA | 934 / 934 mAh | 39 mW | 94%
2024-11-08T12:47:35 100% | 3853 mV | 10 mA | 934 / 934 mAh | 39 mW | 94%
2024-11-08T12:48:06 100% | 3852 mV | 10 mA | 934 / 934 mAh | 39 mW | 94%
2024-11-08T12:48:37 100% | 3851 mV | 10 mA | 934 / 934 mAh | 39 mW | 94%
2024-11-08T12:49:07 100% | 3850 mV | 10 mA | 934 / 934 mAh | 39 mW | 94%
2024-11-08T12:49:38 100% | 3850 mV | 10 mA | 934 / 934 mAh | 39 mW | 94%
2024-11-08T12:50:08 100% | 3848 mV | 10 mA | 934 / 934 mAh | 38 mW | 94%
2024-11-08T12:50:39 100% | 3848 mV | 10 mA | 934 / 934 mAh | 38 mW | 94%
2024-11-08T12:51:10 100% | 3847 mV | 10 mA | 934 / 934 mAh | 38 mW | 94%
2024-11-08T12:51:40 100% | 3846 mV | 10 mA | 934 / 934 mAh | 38 mW | 94%
2024-11-08T12:52:11 100% | 3845 mV | 10 mA | 934 / 934 mAh | 38 mW | 94%
2024-11-08T12:52:42 100% | 3845 mV | 10 mA | 935 / 935 mAh | 38 mW | 94%
2024-11-08T12:53:12 100% | 3844 mV | 10 mA | 935 / 935 mAh | 38 mW | 94%
2024-11-08T12:53:43 100% | 3844 mV | 10 mA | 935 / 935 mAh | 38 mW | 94%
2024-11-08T12:54:13 100% | 3842 mV | 10 mA | 935 / 935 mAh | 38 mW | 94%
2024-11-08T12:54:44 100% | 3842 mV | 10 mA | 935 / 935 mAh | 38 mW | 94%
2024-11-08T12:55:15 100% | 3841 mV | 10 mA | 935 / 935 mAh | 38 mW | 94%
2024-11-08T12:55:45 100% | 3840 mV | 10 mA | 935 / 935 mAh | 38 mW | 94%
2024-11-08T12:56:16 100% | 3839 mV | 10 mA | 935 / 935 mAh | 38 mW | 94%
2024-11-08T12:56:47 100% | 3839 mV | 10 mA | 935 / 935 mAh | 38 mW | 94%
2024-11-08T12:57:17 100% | 3838 mV | 10 mA | 935 / 935 mAh | 38 mW | 94%
2024-11-08T12:57:48 100% | 3837 mV | 10 mA | 935 / 935 mAh | 38 mW | 94%
2024-11-08T12:58:18 100% | 3836 mV | 10 mA | 935 / 935 mAh | 38 mW | 94%
2024-11-08T12:58:49 100% | 3836 mV | 10 mA | 936 / 936 mAh | 38 mW | 94%
2024-11-08T12:59:20 100% | 3835 mV | 10 mA | 936 / 936 mAh | 38 mW | 94%
2024-11-08T12:59:50 100% | 3835 mV | 10 mA | 936 / 936 mAh | 38 mW | 94%
2024-11-08T13:00:21 100% | 3833 mV | 10 mA | 936 / 936 mAh | 38 mW | 94%
2024-11-08T13:00:52 100% | 3832 mV | 10 mA | 936 / 936 mAh | 38 mW | 94%
2024-11-08T13:01:22 100% | 3832 mV | 10 mA | 936 / 936 mAh | 38 mW | 94%
2024-11-08T13:01:53 100% | 3830 mV | 10 mA | 936 / 936 mAh | 38 mW | 94%
2024-11-08T13:02:23 100% | 3835 mV | 8 mA | 936 / 936 mAh | 31 mW | 94%
2024-11-08T13:02:54 100% | 3833 mV | 9 mA | 936 / 936 mAh | 34 mW | 94%
2024-11-08T13:03:25 100% | 3833 mV | 9 mA | 936 / 936 mAh | 34 mW | 94%
2024-11-08T13:03:55 100% | 3833 mV | 8 mA | 936 / 936 mAh | 31 mW | 94%
2024-11-08T13:04:26 100% | 3832 mV | 9 mA | 936 / 936 mAh | 34 mW | 94%
2024-11-08T13:04:57 100% | 3830 mV | 9 mA | 936 / 936 mAh | 34 mW | 94%
2024-11-08T13:05:27 100% | 3831 mV | 9 mA | 937 / 937 mAh | 34 mW | 94%
2024-11-08T13:05:58 100% | 3829 mV | 9 mA | 937 / 937 mAh | 34 mW | 94%
2024-11-08T13:06:29 100% | 3830 mV | 9 mA | 937 / 937 mAh | 34 mW | 94%
2024-11-08T13:06:59 100% | 3829 mV | 9 mA | 937 / 937 mAh | 34 mW | 94%
2024-11-08T13:07:30 100% | 3829 mV | 9 mA | 937 / 937 mAh | 34 mW | 94%
2024-11-08T13:08:00 100% | 3828 mV | 8 mA | 937 / 937 mAh | 31 mW | 94%
2024-11-08T13:08:31 100% | 3828 mV | 8 mA | 937 / 937 mAh | 31 mW | 94%
2024-11-08T13:09:02 100% | 3827 mV | 9 mA | 937 / 937 mAh | 34 mW | 94%
2024-11-08T13:09:32 100% | 3828 mV | 8 mA | 937 / 937 mAh | 31 mW | 94%
2024-11-08T13:10:03 100% | 3828 mV | 8 mA | 937 / 937 mAh | 31 mW | 94%
2024-11-08T13:10:34 100% | 3825 mV | 9 mA | 937 / 937 mAh | 34 mW | 94%
2024-11-08T13:11:04 100% | 3826 mV | 8 mA | 937 / 937 mAh | 31 mW | 94%
2024-11-08T13:11:35 100% | 3825 mV | 8 mA | 937 / 937 mAh | 31 mW | 94%
2024-11-08T13:12:05 100% | 3823 mV | 8 mA | 937 / 937 mAh | 31 mW | 94%
2024-11-08T13:12:36 100% | 3824 mV | 8 mA | 938 / 938 mAh | 31 mW | 94%
2024-11-08T13:13:07 100% | 3822 mV | 8 mA | 938 / 938 mAh | 31 mW | 94%
2024-11-08T13:13:37 100% | 3821 mV | 8 mA | 938 / 938 mAh | 31 mW | 94%
2024-11-08T13:14:08 100% | 3821 mV | 8 mA | 938 / 938 mAh | 31 mW | 94%
2024-11-08T13:14:39 100% | 3822 mV | 8 mA | 938 / 938 mAh | 31 mW | 94%
2024-11-08T13:15:09 100% | 3821 mV | 8 mA | 938 / 938 mAh | 31 mW | 94%
2024-11-08T13:15:40 100% | 3820 mV | 8 mA | 938 / 938 mAh | 31 mW | 94%
2024-11-08T13:16:10 100% | 3819 mV | 8 mA | 938 / 938 mAh | 31 mW | 94%
2024-11-08T13:16:41 100% | 3818 mV | 8 mA | 938 / 938 mAh | 31 mW | 94%
2024-11-08T13:17:12 100% | 3818 mV | 8 mA | 938 / 938 mAh | 31 mW | 94%
2024-11-08T13:17:42 100% | 3818 mV | 8 mA | 938 / 938 mAh | 31 mW | 94%
2024-11-08T13:18:13 100% | 3817 mV | 8 mA | 938 / 938 mAh | 31 mW | 94%
2024-11-08T13:18:44 100% | 3815 mV | 8 mA | 938 / 938 mAh | 31 mW | 94%
2024-11-08T13:19:14 100% | 3816 mV | 8 mA | 938 / 938 mAh | 31 mW | 94%
2024-11-08T13:19:45 100% | 3813 mV | 8 mA | 938 / 938 mAh | 31 mW | 94%
2024-11-08T13:20:15 100% | 3814 mV | 8 mA | 939 / 939 mAh | 31 mW | 94%
2024-11-08T13:20:46 100% | 3814 mV | 8 mA | 939 / 939 mAh | 31 mW | 94%
2024-11-08T13:21:17 100% | 3812 mV | 8 mA | 939 / 939 mAh | 30 mW | 94%
2024-11-08T13:21:47 100% | 3811 mV | 8 mA | 939 / 939 mAh | 30 mW | 94%
2024-11-08T13:22:18 100% | 3811 mV | 8 mA | 939 / 939 mAh | 30 mW | 94%
2024-11-08T13:22:49 100% | 3811 mV | 8 mA | 939 / 939 mAh | 30 mW | 94%
2024-11-08T13:23:19 100% | 3809 mV | 8 mA | 939 / 939 mAh | 30 mW | 94%
2024-11-08T13:23:50 100% | 3808 mV | 8 mA | 939 / 939 mAh | 30 mW | 94%
2024-11-08T13:24:20 100% | 3807 mV | 8 mA | 939 / 939 mAh | 30 mW | 94%
2024-11-08T13:24:51 100% | 3807 mV | 8 mA | 939 / 939 mAh | 30 mW | 94%
2024-11-08T13:25:22 100% | 3804 mV | 9 mA | 939 / 939 mAh | 34 mW | 94%
2024-11-08T13:25:52 100% | 3804 mV | 9 mA | 939 / 939 mAh | 34 mW | 94%
2024-11-08T13:26:23 100% | 3802 mV | 9 mA | 939 / 939 mAh | 34 mW | 94%
2024-11-08T13:26:54 100% | 3803 mV | 9 mA | 939 / 939 mAh | 34 mW | 94%
2024-11-08T13:27:24 100% | 3802 mV | 9 mA | 939 / 939 mAh | 34 mW | 94%
2024-11-08T13:27:55 100% | 3801 mV | 9 mA | 940 / 940 mAh | 34 mW | 94%
2024-11-08T13:28:26 100% | 3799 mV | 9 mA | 940 / 940 mAh | 34 mW | 94%
2024-11-08T13:28:56 100% | 3799 mV | 9 mA | 940 / 940 mAh | 34 mW | 94%
2024-11-08T13:29:27 100% | 3799 mV | 9 mA | 940 / 940 mAh | 34 mW | 94%
2024-11-08T13:29:57 100% | 3798 mV | 9 mA | 940 / 940 mAh | 34 mW | 94%
2024-11-08T13:30:28 100% | 3799 mV | 8 mA | 940 / 940 mAh | 30 mW | 94%
2024-11-08T13:30:59 100% | 3799 mV | 8 mA | 940 / 940 mAh | 30 mW | 94%
2024-11-08T13:31:29 100% | 3799 mV | 8 mA | 940 / 940 mAh | 30 mW | 94%
2024-11-08T13:32:00 100% | 3798 mV | 8 mA | 940 / 940 mAh | 30 mW | 94%
2024-11-08T13:32:31 100% | 3797 mV | 8 mA | 940 / 940 mAh | 30 mW | 94%
2024-11-08T13:33:01 100% | 3797 mV | 8 mA | 940 / 940 mAh | 30 mW | 94%
2024-11-08T13:33:32 100% | 3796 mV | 8 mA | 940 / 940 mAh | 30 mW | 94%
2024-11-08T13:34:02 100% | 3795 mV | 8 mA | 940 / 940 mAh | 30 mW | 94%
2024-11-08T13:34:33 100% | 3794 mV | 8 mA | 940 / 940 mAh | 30 mW | 94%
2024-11-08T13:35:04 100% | 3794 mV | 8 mA | 941 / 941 mAh | 30 mW | 94%
2024-11-08T13:35:34 100% | 3793 mV | 8 mA | 941 / 941 mAh | 30 mW | 94%
2024-11-08T13:36:05 100% | 3793 mV | 8 mA | 941 / 941 mAh | 30 mW | 94%
2024-11-08T13:36:36 100% | 3792 mV | 8 mA | 941 / 941 mAh | 30 mW | 94%
2024-11-08T13:37:06 100% | 3790 mV | 8 mA | 941 / 941 mAh | 30 mW | 94%
2024-11-08T13:37:37 100% | 3790 mV | 8 mA | 941 / 941 mAh | 30 mW | 94%
2024-11-08T13:38:08 100% | 3790 mV | 8 mA | 941 / 941 mAh | 30 mW | 94%
2024-11-08T13:38:38 100% | 3787 mV | 9 mA | 941 / 941 mAh | 34 mW | 94%
2024-11-08T13:39:09 100% | 3786 mV | 9 mA | 941 / 941 mAh | 34 mW | 94%
2024-11-08T13:39:39 100% | 3785 mV | 8 mA | 941 / 941 mAh | 30 mW | 94%
2024-11-08T13:40:10 100% | 3784 mV | 8 mA | 941 / 941 mAh | 30 mW | 94%
2024-11-08T13:40:41 100% | 3782 mV | 9 mA | 941 / 941 mAh | 34 mW | 94%
2024-11-08T13:41:11 100% | 3782 mV | 9 mA | 941 / 941 mAh | 34 mW | 94%
2024-11-08T13:41:42 100% | 3781 mV | 9 mA | 941 / 941 mAh | 34 mW | 94%
2024-11-08T13:42:13 100% | 3782 mV | 8 mA | 941 / 941 mAh | 30 mW | 94%
2024-11-08T13:42:43 100% | 3780 mV | 9 mA | 942 / 942 mAh | 34 mW | 94%
2024-11-08T13:43:14 100% | 3779 mV | 9 mA | 942 / 942 mAh | 34 mW | 94%
2024-11-08T13:43:45 100% | 3777 mV | 9 mA | 942 / 942 mAh | 34 mW | 94%
2024-11-08T13:44:15 100% | 3776 mV | 9 mA | 942 / 942 mAh | 34 mW | 94%
2024-11-08T13:44:46 100% | 3776 mV | 9 mA | 942 / 942 mAh | 34 mW | 94%
2024-11-08T13:45:16 100% | 3776 mV | 9 mA | 942 / 942 mAh | 34 mW | 94%
2024-11-08T13:45:47 100% | 3774 mV | 9 mA | 942 / 942 mAh | 34 mW | 94%
2024-11-08T13:46:18 100% | 3775 mV | 9 mA | 942 / 942 mAh | 34 mW | 94%
2024-11-08T13:46:48 100% | 3773 mV | 9 mA | 942 / 942 mAh | 34 mW | 94%
2024-11-08T13:47:19 100% | 3773 mV | 9 mA | 942 / 942 mAh | 34 mW | 94%
2024-11-08T13:47:50 100% | 3772 mV | 9 mA | 942 / 942 mAh | 34 mW | 94%
2024-11-08T13:48:20 100% | 3771 mV | 9 mA | 942 / 942 mAh | 34 mW | 94%
2024-11-08T13:48:51 100% | 3769 mV | 9 mA | 942 / 942 mAh | 34 mW | 94%
2024-11-08T13:49:22 100% | 3769 mV | 9 mA | 942 / 942 mAh | 34 mW | 94%
2024-11-08T13:49:52 100% | 3768 mV | 9 mA | 943 / 943 mAh | 34 mW | 94%
2024-11-08T13:50:23 100% | 3767 mV | 9 mA | 943 / 943 mAh | 34 mW | 94%
2024-11-08T13:50:53 100% | 3766 mV | 9 mA | 943 / 943 mAh | 34 mW | 94%
2024-11-08T13:51:24 100% | 3766 mV | 9 mA | 943 / 943 mAh | 34 mW | 94%
2024-11-08T13:51:55 100% | 3765 mV | 9 mA | 943 / 943 mAh | 34 mW | 94%
2024-11-08T13:52:25 100% | 3765 mV | 9 mA | 943 / 943 mAh | 34 mW | 94%
2024-11-08T13:52:56 100% | 3763 mV | 9 mA | 943 / 943 mAh | 34 mW | 94%
2024-11-08T13:53:27 100% | 3762 mV | 9 mA | 943 / 943 mAh | 34 mW | 94%
2024-11-08T13:53:57 100% | 3761 mV | 9 mA | 943 / 943 mAh | 34 mW | 94%
2024-11-08T13:54:28 100% | 3761 mV | 9 mA | 943 / 943 mAh | 34 mW | 94%
2024-11-08T13:54:59 100% | 3760 mV | 9 mA | 943 / 943 mAh | 34 mW | 94%
2024-11-08T13:55:29 100% | 3760 mV | 9 mA | 943 / 943 mAh | 34 mW | 94%
2024-11-08T13:56:00 100% | 3759 mV | 9 mA | 943 / 943 mAh | 34 mW | 94%
2024-11-08T13:56:30 100% | 3758 mV | 9 mA | 944 / 944 mAh | 34 mW | 94%
2024-11-08T13:57:01 100% | 3756 mV | 9 mA | 944 / 944 mAh | 34 mW | 94%
2024-11-08T13:57:32 100% | 3756 mV | 9 mA | 944 / 944 mAh | 34 mW | 94%
2024-11-08T13:58:02 100% | 3755 mV | 9 mA | 944 / 944 mAh | 34 mW | 94%
2024-11-08T13:58:33 100% | 3754 mV | 9 mA | 944 / 944 mAh | 34 mW | 94%
2024-11-08T13:59:04 100% | 3753 mV | 9 mA | 944 / 944 mAh | 34 mW | 94%
2024-11-08T13:59:34 100% | 3753 mV | 9 mA | 944 / 944 mAh | 34 mW | 94%
2024-11-08T14:00:05 100% | 3752 mV | 8 mA | 944 / 944 mAh | 30 mW | 94%
2024-11-08T14:00:36 100% | 3751 mV | 9 mA | 944 / 944 mAh | 34 mW | 94%
2024-11-08T14:01:06 100% | 3750 mV | 9 mA | 944 / 944 mAh | 34 mW | 94%
2024-11-08T14:01:37 100% | 3750 mV | 9 mA | 944 / 944 mAh | 34 mW | 94%
2024-11-08T14:02:07 100% | 3749 mV | 8 mA | 944 / 944 mAh | 30 mW | 94%
2024-11-08T14:02:38 100% | 3749 mV | 9 mA | 944 / 944 mAh | 34 mW | 94%
2024-11-08T14:03:09 100% | 3747 mV | 9 mA | 944 / 944 mAh | 34 mW | 94%
2024-11-08T14:03:39 100% | 3747 mV | 8 mA | 945 / 945 mAh | 30 mW | 94%
2024-11-08T14:04:10 100% | 3746 mV | 9 mA | 945 / 945 mAh | 34 mW | 94%
2024-11-08T14:04:41 100% | 3747 mV | 8 mA | 945 / 945 mAh | 30 mW | 94%
2024-11-08T14:05:11 100% | 3744 mV | 9 mA | 945 / 945 mAh | 34 mW | 94%
2024-11-08T14:05:42 100% | 3743 mV | 9 mA | 945 / 945 mAh | 34 mW | 94%
2024-11-08T14:06:13 100% | 3742 mV | 9 mA | 945 / 945 mAh | 34 mW | 94%
2024-11-08T14:06:43 100% | 3742 mV | 9 mA | 945 / 945 mAh | 34 mW | 94%
2024-11-08T14:07:14 100% | 3740 mV | 9 mA | 945 / 945 mAh | 34 mW | 94%
2024-11-08T14:07:44 100% | 3740 mV | 9 mA | 945 / 945 mAh | 34 mW | 94%
2024-11-08T14:08:15 100% | 3739 mV | 9 mA | 945 / 945 mAh | 34 mW | 94%
2024-11-08T14:08:46 100% | 3738 mV | 9 mA | 945 / 945 mAh | 34 mW | 94%
2024-11-08T14:09:16 100% | 3738 mV | 9 mA | 945 / 945 mAh | 34 mW | 94%
2024-11-08T14:09:47 100% | 3738 mV | 8 mA | 945 / 945 mAh | 30 mW | 94%
2024-11-08T14:10:18 100% | 3735 mV | 9 mA | 945 / 945 mAh | 34 mW | 94%
2024-11-08T14:10:48 100% | 3734 mV | 9 mA | 946 / 946 mAh | 34 mW | 94%
2024-11-08T14:11:19 100% | 3735 mV | 9 mA | 946 / 946 mAh | 34 mW | 94%
2024-11-08T14:11:50 100% | 3734 mV | 9 mA | 946 / 946 mAh | 34 mW | 94%
2024-11-08T14:12:20 100% | 3733 mV | 9 mA | 946 / 946 mAh | 34 mW | 94%
2024-11-08T14:12:51 100% | 3732 mV | 9 mA | 946 / 946 mAh | 34 mW | 94%
2024-11-08T14:13:21 100% | 3731 mV | 9 mA | 946 / 946 mAh | 34 mW | 94%
2024-11-08T14:13:52 100% | 3730 mV | 8 mA | 946 / 946 mAh | 30 mW | 94%
2024-11-08T14:14:23 100% | 3730 mV | 9 mA | 946 / 946 mAh | 34 mW | 94%
2024-11-08T14:14:53 100% | 3729 mV | 9 mA | 946 / 946 mAh | 34 mW | 94%
2024-11-08T14:15:24 100% | 3731 mV | 8 mA | 946 / 946 mAh | 30 mW | 94%
2024-11-08T14:15:55 100% | 3730 mV | 8 mA | 946 / 946 mAh | 30 mW | 94%
2024-11-08T14:16:25 100% | 3729 mV | 8 mA | 946 / 946 mAh | 30 mW | 94%
2024-11-08T14:16:56 100% | 3726 mV | 9 mA | 946 / 946 mAh | 34 mW | 94%
2024-11-08T14:17:27 100% | 3726 mV | 9 mA | 946 / 946 mAh | 34 mW | 94%
2024-11-08T14:17:57 100% | 3725 mV | 9 mA | 947 / 947 mAh | 34 mW | 94%
2024-11-08T14:18:28 100% | 3724 mV | 9 mA | 947 / 947 mAh | 34 mW | 94%
2024-11-08T14:18:58 100% | 3724 mV | 8 mA | 947 / 947 mAh | 30 mW | 94%
2024-11-08T14:19:29 100% | 3722 mV | 9 mA | 947 / 947 mAh | 33 mW | 94%
2024-11-08T14:20:00 100% | 3721 mV | 9 mA | 947 / 947 mAh | 33 mW | 94%
2024-11-08T14:20:30 100% | 3721 mV | 9 mA | 947 / 947 mAh | 33 mW | 94%
2024-11-08T14:21:01 100% | 3719 mV | 9 mA | 947 / 947 mAh | 33 mW | 94%
2024-11-08T14:21:32 100% | 3719 mV | 9 mA | 947 / 947 mAh | 33 mW | 94%
2024-11-08T14:22:02 100% | 3718 mV | 9 mA | 947 / 947 mAh | 33 mW | 94%
2024-11-08T14:22:33 100% | 3717 mV | 9 mA | 947 / 947 mAh | 33 mW | 94%
2024-11-08T14:23:04 100% | 3716 mV | 9 mA | 947 / 947 mAh | 33 mW | 94%
2024-11-08T14:23:34 100% | 3717 mV | 8 mA | 947 / 947 mAh | 30 mW | 94%
2024-11-08T14:24:05 100% | 3715 mV | 9 mA | 947 / 947 mAh | 33 mW | 94%
2024-11-08T14:24:35 100% | 3715 mV | 8 mA | 947 / 947 mAh | 30 mW | 94%
2024-11-08T14:25:06 100% | 3714 mV | 9 mA | 948 / 948 mAh | 33 mW | 94%
2024-11-08T14:25:37 100% | 3713 mV | 9 mA | 948 / 948 mAh | 33 mW | 94%
2024-11-08T14:26:07 100% | 3712 mV | 9 mA | 948 / 948 mAh | 33 mW | 94%
2024-11-08T14:26:38 100% | 3712 mV | 9 mA | 948 / 948 mAh | 33 mW | 94%
2024-11-08T14:27:09 100% | 3711 mV | 9 mA | 948 / 948 mAh | 33 mW | 94%
2024-11-08T14:27:39 100% | 3710 mV | 9 mA | 948 / 948 mAh | 33 mW | 94%
2024-11-08T14:28:10 100% | 3709 mV | 9 mA | 948 / 948 mAh | 33 mW | 94%
2024-11-08T14:28:40 100% | 3708 mV | 9 mA | 948 / 948 mAh | 33 mW | 94%
2024-11-08T14:29:11 100% | 3708 mV | 9 mA | 948 / 948 mAh | 33 mW | 94%
2024-11-08T14:29:42 100% | 3707 mV | 9 mA | 948 / 948 mAh | 33 mW | 94%
2024-11-08T14:30:12 100% | 3706 mV | 9 mA | 948 / 948 mAh | 33 mW | 94%
2024-11-08T14:30:43 100% | 3706 mV | 9 mA | 948 / 948 mAh | 33 mW | 94%
2024-11-08T14:31:14 100% | 3705 mV | 8 mA | 948 / 948 mAh | 30 mW | 94%
2024-11-08T14:31:44 100% | 3704 mV | 9 mA | 948 / 948 mAh | 33 mW | 94%
2024-11-08T14:32:15 100% | 3705 mV | 9 mA | 949 / 949 mAh | 33 mW | 94%
2024-11-08T14:32:46 100% | 3703 mV | 9 mA | 949 / 949 mAh | 33 mW | 94%
2024-11-08T14:33:16 100% | 3702 mV | 8 mA | 949 / 949 mAh | 30 mW | 94%
2024-11-08T14:33:47 100% | 3701 mV | 9 mA | 949 / 949 mAh | 33 mW | 94%
2024-11-08T14:34:17 100% | 3701 mV | 8 mA | 949 / 949 mAh | 30 mW | 94%
2024-11-08T14:34:48 100% | 3700 mV | 9 mA | 949 / 949 mAh | 33 mW | 94%
